STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SEN,WB_FINDEX_G20_ANY,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,44.503053295558495,A,Triennial,Senegal,Made or received a digital payment,Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SRB,WB_FINDEX_G20_ANY,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,90.1339822376469,A,Triennial,Serbia,Made or received a digital payment,Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SRB,WB_FINDEX_G20_ANY,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,68.0742820628231,A,Triennial,Serbia,Made or received a digital payment,Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SLE,WB_FINDEX_G20_ANY,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,28.974446988471602,A,Triennial,Sierra Leone,Made or received a digital payment,Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SLE,WB_FINDEX_G20_ANY,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,23.3282011845233,A,Triennial,Sierra Leone,Made or received a digital payment,Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SGP,WB_FINDEX_G20_ANY,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,95.0549642479127,A,Triennial,Singapore,Made or received a digital payment,Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SGP,WB_FINDEX_G20_ANY,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,93.5052213824127,A,Triennial,Singapore,Made or received a digital payment,Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SVK,WB_FINDEX_G20_ANY,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,94.8040194508431,A,Triennial,Slovak Republic,Made or received a digital payment,Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SVK,WB_FINDEX_G20_ANY,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,92.7411171157031,A,Triennial,Slovak Republic,Made or received a digital payment,Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SVN,WB_FINDEX_G20_ANY,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,96.72146282716089,A,Triennial,Slovenia,Made or received a digital payment,Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
